id,subject_id,course_number,title,credits,credit_range,description,writing_intensive,repeat_status,restrictions
3269b073-3509-4da3-9759-656529ee865b,ANIM,115,Introduction to Production with Animation & VFX,3.0,,"This course introduces students to many of the core principles, techniques and technologies employed in the creation of media incorporating animation and visual effects. The basics of planning and shooting live action, greenscreen and still image media are introduced in conjunction with design, creation, animation and compositing of both 2D and 3D assets.",False,Not repeatable for credit,
e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,Computer Graphics Imagery I,3.0,,Students learn to represent 3D objects and spaces in 2D media using a variety of drawing and computer graphic techniques. This course lays important foundations for subsequent courses in 3D computer modeling and animation.,False,Not repeatable for credit,
508ced57-24e9-4547-a108-28b5cf68abee,ANIM,141,Computer Graphics Imagery II,3.0,,"This course will introduce students to the principles and techniques of 3D virtual scene building for animation, visualization and game development.",False,Not repeatable for credit,
98820e7c-cd9b-4ff8-a1fb-73c3ce48759e,ANIM,145,Realtime Visualization,3.0,,"In this course, students learn principles and techniques of scene building in realtime, 3D interactive graphics engines for use in animation, visualization, game design, VR, AR and other forms of digital media.",False,Not repeatable for credit,
6f853a61-9bb1-468b-88b5-23840bec9354,ANIM,146,Basic Portfolio,1.0,,"This course focuses on the basics of portfolio creation, editing, and presentation while examining portfolio examples of current professionals in various industry roles that can serve as models for student portfolio development.",False,Not repeatable for credit,Can enroll if major is ANFX.
9bb9b132-00b0-484d-ad59-b74b88c4e560,ANIM,152,Multimedia Timeline Design,3.0,,"Introduces basic design concepts and tools to create time based 2D and 3D multimedia. Addresses issues from pre-production planning, through post-production and delivery; emphasis on time-based multimedia.",False,Not repeatable for credit,
3a6f45c8-fcca-476e-8743-07ecdb5599f6,ANIM,155,Previsualization for Animated Production,3.0,,"Previsualization is the all-important design and planning process that takes place before embarking on the production of an animation or visual effects piece. In this course, student will learn and practice the creation, motivation and use of pre-production plans, concept art, mood boards, shot storyboarding, animatics, performance reference and other topics integral to the previsualization process.",False,Not repeatable for credit,
6e07038f-959f-4c3d-a53a-f0032fb1f3c1,ANIM,211,Animation I,3.0,,"Explores computer animation with an introduction to concepts of 3D animation. Includes narrative structure, storyboarding, and development. Emphasizes aesthetic, technical and conceptual issues. Requires students to create short, 3D animations.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
da033559-c109-4bbc-b0bb-6f0e9ece055d,ANIM,212,Animation II,3.0,,"Builds on topics introduced in ANIM 211 Animation I, incorporating advanced animation techniques such as inverse kinematics and dynamics. Requires students to propose, design, and produce a short animation.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
3b587f4c-5e32-440e-b202-883709cc2e0d,ANIM,213,Rigging I,3.0,,"This class will introduce students to the fundamental concepts of IK and FK rigging, weight painting, and deformation solutions for humanoid characters. Lectures may also include common rigging solutions for other miscellaneous tasks and advanced-level topics.",False,Can be repeated multiple times for credit,
30469679-4bde-46cf-9d3e-fea1658c467b,ANIM,214,Digital Character Creation,3.0,,"This course introduces all aspects of digital character creation within a 3D environment. Students will learn how to model and rig humanoid characters optimal for both real time and raytraced render environments. Topics covered will include modeling and topology for characters, FK/IK rigs, and production workflows for character integration.",False,Not repeatable for credit,
18100d64-c42e-4551-9a57-67be71729ea0,ANIM,215,History of Animation,3.0,,Students learn the pre-cursors to modern animation and the evolution of the art since the beginning of the 20th century. Concepts in both 2D and 3D animation will be covered.,False,Not repeatable for credit,
292ec5cc-4146-4837-862c-c7035e3395e9,ANIM,220,Digital Compositing I,3.0,,"Examines digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including study of digital image and video formats, color space, live action digital matte painting, Greenscreen/Bluescreen compositing, rotoscope masking and 2D tracking.",False,Not repeatable for credit,
5ae39adf-ec25-4738-bb4b-168d7997d819,ANIM,221,Digital Compositing II,3.0,,"Examines 2D and 3D digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including 2D/3D Integration, 3D Matchmoving, and High Dynamic Range Imagery.",False,Not repeatable for credit,
32250ec8-a3dd-4416-8480-654214d8abe4,ANIM,225,Digital Matte Painting,3.0,,"Students will build upon existing compositing and animation knowledge to create digital matte painting visual effects shots using 2D and 3D approaches. This course will teach students the process of creating dramatic scenes that leverage movement, depth, and scale.",False,Not repeatable for credit,
a46ed64b-d3e6-4027-b9fc-1355f01b6869,ANIM,231,Scripting for Animation and Visual Effects,3.0,,This course explores modern scripting languages utilized in Animation and Visual Effects operating systems and software tools that are integral to artist productivity and production pipeline scalability.,False,Not repeatable for credit,
dc49c41c-bb99-4104-a219-beec09c0a658,ANIM,240,Lighting & Surfacing,3.0,,Students will continue to build on core skills by diving deeper into texture and shader development as well as lighting techniques for the purposes of creating photorealistic digital imagery. Several render engines will be introduced allowing students to recognize core concepts universal to lighting and surfacing and improving production versatility.,False,Not repeatable for credit,
ebb83d32-f2db-4b46-be88-2cdbb6a360f4,ANIM,246,Advanced Portfolio,1.0,,This course focuses on building skills for the career-long practice of producing and maintaining a professional creative portfolio while allowing the students the opportunity to create or refine additional student-driven portfolio work that synthesizes their skills and experience from direct class assignments in their other coursework.,False,Can be repeated 2 times for 3 credits,
608da4ad-2ebd-4f1f-9b10-88b08153c8ff,ANIM,247,Organic Modeling I,3.0,,"This course presents an intensive exploration of human character modeling and rigging for animation, with emphasis on human anatomy and articulation. Through lectures, demonstrations, class critiques and individual feedback from peers and the instructor, students will learn best practices for modeling human forms for animation and why these approaches are valid. Although the focus is on humans, the concepts and techniques presented for organic modeling, sculpting and rigging apply to all organic characters.",False,Not repeatable for credit,
95a9c557-4746-49e5-8b61-4b1bf2684b96,ANIM,248,Advanced Lighting,3.0,,"Students will learn to integrate production-oriented lighting techniques into animation. Techniques utilizing both point-based and raytraced global illumination will be covered, and how to optimize pipelines for animation. Basic shader development will also be covered.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
3e1cf9e8-1ece-4cad-8fff-463d6f529252,ANIM,250,Professional Practices for Animation & VFX,3.0,,"Provides a professional orientation to the animation and visual effects industry through an exploration of a variety of projects and studies. In addition to lecture and discussions, students learn to take active part in role plays and presentations to achieve an understanding of the importance of team building, team work, and team management in all phases of animation and visual effects productions from proposals to final delivery, as well as personal development and promotion through personal learning, development of work demonstration materials.",False,Not repeatable for credit,
cda587b0-0e58-4351-8550-7bdb20117c68,ANIM,301,Procedural Animation,3.0,,"This class introduces students to the fundamentals of procedurally generated 3D content. Students will learn procedural tools for the generation of different effects systems in topics such as modeling, rigging, animation, visual effects, and look development.",False,Can be repeated multiple times for credit,
047958be-b7fa-40a6-b010-483f39b89049,ANIM,314,Character Animation I,3.0,,"In this course, students learn humanoid rigging, body mechanics, body language and theories of acting with emphasis on having characters emote and perform with deliberateness of action. The course will culminate with a two character pantomime animation that students will create with a partner.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
bfb0f118-d77d-49d8-8231-cf34ce853598,ANIM,315,Character Animation II,3.0,,Students learn human facial deformation and movement as it’s applied to thought driven character performance.,False,Not repeatable for credit,Cannot enroll if classification is Freshman
6e0e358d-75ba-41cd-b17c-ee8211073bdf,ANIM,347,Organic Modeling II,3.0,,"In this course, students will learn organic modeling of creatures, both real and imagined, for animation, taking into consideration anatomy, articulation and the fundamentals of creature design. In addition, we’ll look at various concepts and techniques for rigging animals and creatures as you’ll develop and present your own creature, modeled, sculpted, rigged, and posed in a final animation.",False,Not repeatable for credit,
ef3e3896-1012-48ef-bdf9-f88663c2b447,ANIM,377,Animation Workshop I,3.0,,"This course examines leadership and developmental roles involved in each stage of a collaborative production, from concept to finished project. Students will work in groups to research and plan an animation production that results in a pre-production prototype.",False,Not repeatable for credit,
95bb7615-5382-4a62-ab6e-62b6849d6204,ANIM,378,Animation Workshop II,3.0,,This course provides an environment in which the pre-production of ANIM 377 Animation Workshop I can be taken through a full production effort. Students will work in groups to bring a selected prototype to completion.,False,Not repeatable for credit,
c74e550e-f10b-4570-9806-a3e042984fe1,ANIM,410,Advanced Compositing,3.0,,"Students learn to create detailed visual effects, and the best methods to integrate them into live-action plates. Drawing on existing compositing and animation knowledge, students will work in groups to produce short visual effects sequences.",False,Can be repeated multiple times for credit,
958ee2e1-b79e-4ea0-a953-e632ce8c307d,ANIM,411,Advanced Animation,3.0,,"This course explores a wide range of visual effects assets, both practical and synthetic. Projects focus on the creation of a comprehensive short animation.",False,Can be repeated multiple times for credit,Can enroll if classification is Junior or Senior.
cf4d5a82-b2cc-4a2a-9139-a6f5a3ee2d8a,ANIM,412,Advanced Visual Effects,3.0,,"In this course students will study advanced techniques and software in order to successfully recreate natural phenomenon, simulations, and effects that can be used in the Film, Animation, or Gaming industries.",False,Can be repeated multiple times for credit,
e4b44c60-d668-4148-9d2d-c7bc3cb2d2c4,ANIM,435,Technical Directing for Animation,3.0,,"Students learn toolsets for technical direction of animated films and visual effects. The topics covered can include Python scripting, pipeline development and integration, the creation of custom shaders to streamline production processes, and technical direction for lighting, crowds, or other relevant disciplines in the animation and visual effects industry.",False,Can be repeated multiple times for credit,
0e8531fe-f90e-452b-8903-38eb2223ea0b,ANIM,I199,Independent Study in Animation,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
0ec5be38-a34c-416c-ba4b-4cd0fe794a02,ANIM,I299,Independent Study in Animation,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
522a4c75-a8c6-47c2-9346-9be46bbeeb4f,ANIM,I399,Independent Study in Animation,12.0,0.5-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
26f99ab6-b346-4498-a095-e08dd8b54fa1,ANIM,I499,Independent Study in Animation,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
b55d9d0b-b8a5-4821-b111-73046a02e797,ANIM,T180,Special Topics in Animation,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
70044160-b3b3-4246-8a85-123d00f1bb5d,ANIM,T280,Special Topics in Animation,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
fd059143-539a-4666-b39f-7f7faa3e44c3,ANIM,T380,Special Topics in Animation,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
f7631e22-dd89-4e90-b5ea-06862b34029b,ANIM,T480,Special Topics in Animation,3.0,,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
6ce4d37a-8efa-4ee1-82d0-a525c8d4242e,ARCH,118,Architectural Design Foundations I,3.0,,"Introduces basic architectural design principles. Elementary concepts of space, surface and form will be explored through investigation of abstract and applied design projects explored in two and three- dimensional abstract exercises. Exercises incorporate heightened observational analysis and graphic skills.",False,Not repeatable for credit,
e1f75ccf-e248-4dd7-8955-0121d055cc52,ARCH,119,Architectural Design Foundations II,3.0,,"Investigates basic architectural design principles that emphasize the inter-relationship between the scale of the human body and its movement within three-dimensional space. Design exercises will advance the understanding of the design process, development of a conceptual idea and a higher-level graphic and oral presentation.",False,Not repeatable for credit,
080ea010-a9b6-4b69-bfbe-c7b54a97d5bc,ARCH,140,Appreciation of Architecture,3.0,,"Historical survey of architecture from prehistory through today drawn from around the globe (and from Philadelphia) that considers broadly applicable topics including style, material, construction, and function. Intended for non-majors as an introduction to architecture and urbanism.",False,Not repeatable for credit,
42cb9c57-fcda-4709-9843-7a83867299d0,ARCH,141,Architecture and Society I,3.0,,"This survey course examines the evolution of architectural and urban thought, form, space, and structure in light of changing human values and institutions. Particular attention is paid to materials, meaning, and use. It explores global built environments from the prehistoric era through the early Medieval period (9th century CE) in Europe, the Americas, Asia, and Africa.",False,Not repeatable for credit,
4eb24bbd-c317-43b8-8c7c-5c28af02456e,ARCH,142,Architecture and Society II,3.0,,"This survey course examines the evolution of architectural and urban thought and form in light of changing human values and institutions, with particular attention paid to materials, technology, meaning, and use. It explores global built environments from the early Medieval period (9th century CE) through the 18th century in Europe, the Americas, Asia, and Africa.",False,Not repeatable for credit,
53190559-9e80-42dc-b0ed-a3d21a2c62fe,ARCH,143,Architecture and Society III,3.0,,"This survey course examines the evolution of architectural and urban thought and form in light of changing human values and institutions, with particular attention paid to materials, technology, meaning, and use. It explores global modern built environments from the 18th century through the 21st century in Europe, the Americas, Asia, Australasia, and Africa.",False,Not repeatable for credit,
09078838-f821-492c-8912-cb2e4cee62f7,ARCH,170,Architectural Technology I,3.0,,"Introduction to the fundamental aspects of building technology with exposure to materials, structure and building systems that are frequently used in building construction. Provides a framework for the exploration of construction in the context of design.",False,Not repeatable for credit,Can enroll if major is ARCH.
b25e2466-0cb0-43f0-bce9-882c13f01b1f,ARCH,172,Architectural Technology II,3.0,,"Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles. Begins the development of systematic thinking regarding architectural technology.",False,Not repeatable for credit,Can enroll if major is ARCH.
95ef00c4-7d17-47ed-90d1-9cd7ab548540,ARCH,173,Architectural Technology III,3.0,,"Introduction to the technical building analysis including the organizing principles for materials, structure and systems. Includes envelope assembly, thermal comfort, structural and passive building systems.",False,Not repeatable for credit,Can enroll if major is ARCH.
1bdfa1e5-6701-40cc-97a3-a24a1d65656d,ARCH,181,Architecture Studio 1A,4.0,,"Introduces basic architectural design principles. Elementary concepts of space, surface and form will be explored in two and three dimensional abstract exercises. Exercises incorporate observational analysis and graphic skills.",False,Not repeatable for credit,Can enroll if major is ARCH.
af0e5564-4cfb-4dab-ab8e-f864a3dd1f8c,DIGM,T480,Special Topics in Digital Media,3.0,0.0-3.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
05cb4331-924a-42d5-b8e2-147bb2f10099,ARCH,182,Architecture Studio 1B,4.0,,"Transitions from abstract design principles to simple architectural exercises, considering function, scale, user and ordering strategies in relation to form-making in three-dimensional space. Exercises heighten observation and graphic skills while developing an architectural vocabulary.",False,Not repeatable for credit,Can enroll if major is ARCH.
8645145f-e5de-4b7b-9edd-e1024b57031a,ARCH,183,Architecture Studio 1C,4.0,,Focuses on a series of basic architectural problems developed around issues of context and material use in relationship to the organization of space and human activity. Design exercises will cultivate the design process through developing a conceptual idea through graphic and oral communication.,False,Not repeatable for credit,Can enroll if major is ARCH.
f07e4fc0-8c44-4cb5-aa82-bb609c697a87,ARCH,191,Studio 1-AE,3.0,,Architectural engineering majors only. Covers basic design principles using three-dimensional abstract and applied projects. Exercises heighten observation skills.,False,Not repeatable for credit,Can enroll if major is AE.
4dd732d8-1b2d-461f-b9cc-56886d5627c1,ARCH,192,Studio 2-AE,3.0,,"Architectural engineering majors only. Continues ARCH 191. Uses design exercises to emphasize the nature of function, structure, and material and their impact on the design process.",False,Not repeatable for credit,Can enroll if major is AE.
59ce59db-564e-40b4-a654-eea600e5771e,ARCH,211,Architectural Representation I,2.0,,Introductory course that will provide a survey of drawing types with an emphasis on process and visual literacy.,False,Not repeatable for credit,Can enroll if major is ARCH.
b37e1727-293f-4986-8f4d-0a0c31ada94e,ARCH,212,Architectural Representation II,2.0,,Emphasis on craft and composition in the architectural representation of the built environment.,False,Not repeatable for credit,Can enroll if major is ARCH.
f079bc52-9762-44fa-a51f-a9fa079642d3,ARCH,213,Architectural Representation III,2.0,,"Exploration of digital representation with an emphasis on making combining process drawing, digital fabrication and analog craft to develop three-dimensional representation skills.",False,Not repeatable for credit,Can enroll if major is ARCH.
e4f954bb-79af-4e91-80fd-5679d7f34560,ARCH,221,Materials & Methods I,1.5,,Introduction to the fundamental aspects of building technology with exposure to materials and methods that are frequently used in building construction. Provides a framework for the exploration of construction in the context of design.,False,Not repeatable for credit,
0ce262d4-172f-4bb9-a6fd-481e8806315b,ARCH,222,Materials & Methods II,1.5,,"Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles. Begins the development of systematic thinking regarding architectural technology.",False,Not repeatable for credit,
569a1deb-e6f8-4afa-acb9-b5a261751f3e,ARCH,223,Materials & Methods III,1.5,,"Introduction to technical building analysis including the organizing principles for materials, structure and systems. Includes envelope assembly, thermal comfort, structural and passive building systems.",False,Not repeatable for credit,
248f69fe-bbb2-4dac-9399-ce2ce63305ed,ARCH,224,Architectural Representation IV,2.0,,"Emphasizes the communication of design through perspective, view-making and rendering. Through the use of digital and analog techniques, the ability to select the proper media to visually convey a design concept will be developed.",False,Not repeatable for credit,Can enroll if major is ARCH.
931ebe90-e4fb-48d5-8694-6699d24b610e,ARCH,225,Architectural Representation V,2.0,,"Emphasizes the tools to complete a final quality architectural presentation in a variety of venues including portfolios, digital representations and online media.",False,Not repeatable for credit,Can enroll if major is ARCH.
d83964c0-a8d1-41f0-985d-5419727efdf4,ARCH,226,Architectural Representation VI,2.0,,Explores parametric thinking and the iterative design process while reinforcing critical skills in detailing and design development through various software programs.,False,Not repeatable for credit,Can enroll if major is ARCH.
985b79bc-b3eb-4b66-8c77-ead00ef94854,ARCH,251,Structural Systems I,1.5,,Introduction to the fundamental aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
5df5cdb0-5ecf-4cc4-babd-c67630599a19,ARCH,252,Structural Systems II,1.5,,Further introduction to the fundamental aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
b106a269-bcf7-47be-af4e-c0260aa89e5f,ARCH,253,Structural Systems III,1.5,,Introduction and intermediate aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
67019a93-b9b4-4edd-87ba-0ba118e56a14,ARCH,274,Architectural Technology IV,3.0,,"Intermediate development of architectural technology with a focus on application of analysis of primary materials, structure and systems. Depth and range of analytical tools are addressed.",False,Not repeatable for credit,Can enroll if major is ARCH.
9d133970-eb1c-4ea1-92a6-bf74470608fd,ARCH,275,Architectural Technology V,3.0,,"Further development of analytical skills for building technology. Case studies and real world precedents examine materials, structure and systems in the support of larger architectural objectives.",False,Not repeatable for credit,Can enroll if major is ARCH.
27fc077e-cdbf-4459-afa6-1d20a82a6c5c,ARCH,276,Architectural Technology VI,3.0,,"Examination of technical analysis and design in support of iterative architectural concepts. Materials, structure and systems are utilized to develop strong design synergies.",False,Not repeatable for credit,Can enroll if major is ARCH.
3f107cb7-bea1-4f8e-bf53-925f8b4244fd,ARCH,281,Architecture Studio 2A,4.0,,"Introduces issues of architectural form, site and programmatic concerns. Design exercises will explore simple issues of structure, building and material systems and sustainability.",False,Not repeatable for credit,Can enroll if major is ARCH.
5a1f24b2-537c-41c7-a1dc-4fa4de37fa99,ARCH,464,Building Enclosure Design,3.0,,"Examines the integrations of aesthetics, building science, and technology in the design of building enclosures. Professional Elective. Summer.",False,Not repeatable for credit,Can enroll if major is ARCH.
7d81ae40-5195-4e48-8e9b-2f2b73104082,ARCH,282,Architecture Studio 2B,4.0,,"Covers architectural design problems of incremental complexity that emphasizes the nature of function, structure, and material and their impact on the design process.",False,Not repeatable for credit,Can enroll if major is ARCH.
808813dc-635f-4ee9-be30-34cd9958a9ee,ARCH,283,Architecture Studio 2C,4.0,,"Explores architectural design problems that introduce the full range of challenges in the areas of organization, program, context, systems and formal expression.",False,Not repeatable for credit,Can enroll if major is ARCH.
d4d0aa02-210f-45db-ab2f-ed0e359d384f,ARCH,291,Building Systems I,1.5,,Introduction to architectural technology with a focus on application of analysis pertaining to environmental systems within the context of building design.,False,Not repeatable for credit,
487f4e41-aaec-41dd-bac3-efbde7502ec2,ARCH,292,Building Systems II,1.5,,Introduction to architectural technology with a focus on design impacts and analysis related to water within the context of building design.,False,Not repeatable for credit,
acb7b16a-2c92-4870-95a8-c20c99b95732,ARCH,293,Building Systems III,1.5,,Introduction to architectural technology with a focus on design impacts and analysis related to lighting within the context of building design.,False,Not repeatable for credit,
ee2b04fe-f20f-4d11-82a2-6ca69f70a5d0,ARCH,315,Sustainable Built Environment I,3.0,,"Provides an overview of contemporary sustainable design principles and systems involved to posit novel solutions to various design challenges. Combining theoretical knowledge, field trips and case studies enabling students to critically assess sustainability as it relates to the built environment through five key subsystems: materials, air, water, energy and life.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
f2bfe3b8-688a-439a-9b88-9df81358e332,ARCH,320,Sustainable Built Environment II,3.0,,"Students will examine the work of scientists, designers, authors, artists, architects, engineers, planners, etc to gain a deeper conceptual understanding of current and emerging strategies in sustainability and the complex and integrated systems approach to the built environment in the present and near future.",False,Not repeatable for credit,Cannot enroll if classification is Freshman
b7fabd64-6e60-4f79-b68c-5a68bdc99ef1,ARCH,324,Materials & Methods IV,1.5,,"Advanced building technology concepts are explored through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes.",False,Not repeatable for credit,
ca7ca8ee-8a39-48c4-86de-193c30ac1635,ARCH,325,Materials & Methods V,1.5,,"Further exploration of advanced building technology concepts through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes.",False,Not repeatable for credit,
d86390aa-9e3a-4078-be1a-e5483ae9b6cf,ARCH,326,Materials & Methods VI,1.5,,"Advanced integration of building technology concepts through design problems and examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes.",False,Not repeatable for credit,
e392e969-1141-4ce2-8b17-ee3061709664,ARCH,335,Professional Practice I,3.0,,"This seminar is the first of a two-course sequence that introduces students to varying topics related to architectural practice in today's society. It addresses the following issues: Community and Social Responsibility, Leadership, Ethics & Professional Judgment, Client Role in Architecture, Basic Principles of Architectural Practice.",False,Not repeatable for credit,Can enroll if major is ARCH or major is INTR.
b6dba2f4-a1cf-4ec2-80e5-b4eb85a06223,ARCH,336,Professional Practice II,3.0,,"This seminar is the second of a two-course sequence that introduces students to varying topics related to architectural practice in today’s society. It addresses the following issues: Practice Management, Project Management, Financial Considerations, Legal Responsibilities, Ethics & Professional Judgment.",False,Not repeatable for credit,Can enroll if major is ARCH or major is INTR.
ba3adb90-2415-44ff-8407-fa12c3a63661,ARCH,340,American Architecture & Urbanism,3.0,,Surveys the development of American architecture and urbanism from its Native American origins through the arrival of early Modernism in the 1930s and 1940s.,False,Not repeatable for credit,Can enroll if major is ARCH.
e6230f58-1198-4ca4-baf5-9b2c7ffc3964,ARCH,341,Theories of Architecture I,3.0,,Seminar that examines theories and principles of Western architecture before 1700. History/theory elective.,True,Not repeatable for credit,
71a71de1-040b-4083-bf04-7de21ad239d9,ARCH,342,Theories of Architecture II,3.0,,Continues ARCH 341. Seminar that examines theories and principles of Western architecture from the Baroque era of the 17th century to the beginning of Modernism in the 20th century. History/theory elective.,True,Not repeatable for credit,
e7e5ae30-8b19-4028-89ac-970cf47cad27,ARCH,343,Theories of Architecture III,3.0,,"Seminar that examines 20th-century theories of architecture, including analysis and discussion of current theoretical positions. History/theory elective. Spring.",False,Not repeatable for credit,
8c7a03aa-7bc2-408a-bcb4-afeff804fd3f,ARCH,346,History of Philadelphia Architecture,3.0,,"Covers the architecture of the city of Philadelphia from 1682, examining its architects, styles, and sources through lectures, walking tours, and student reports. History/theory elective. Fall. Alternate years.",True,Not repeatable for credit,
cc1f6cc1-57a7-4e0f-952f-1734999950c2,ARCH,347,Intensive Architectural Studies,6.0,1.0-6.0,"An intensive study tour of selected domestic and foreign destinations focusing on architecture and related design disciplines. Combines lecture, site visits, sketching and individual research. History/Theory Elective.",True,Can be repeated multiple times for credit,
05ba43fa-e1db-41ee-a18b-9a80c720cdf5,DANC,I399,Independent Study in DANC,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
68aaf002-9a48-427a-ac28-24d87850864c,ARCH,348,Studies in Vernacular Architecture,3.0,,"A topical survey of world traditions of vernacular architecture, with emphasis on houses and dwelling environments. The survey topics include basics of shelter, construction methods, response to climate, patterns of settlement, social and economic organization, cultural expression, and methods of research and analysis.",True,Not repeatable for credit,
8a10caaa-1590-49cc-9354-18e5900e055d,ARCH,350,Contemporary Architecture,3.0,,Survey and analysis of significant developments in architecture and urbanism over the past 50+ years.,False,Not repeatable for credit,Can enroll if major is ARCH.
42bbd58f-6eff-4283-a1e6-31628234bf74,ARCH,354,Structural Systems IV,1.5,,Intermediate aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
9d2f469d-4847-40c3-b5c3-109950233a86,ARCH,355,Structural Systems V,1.5,,Intermediate structural analysis for architectural design. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
4f41fba8-06dc-4210-83b1-791a2b60794e,ARCH,356,Structural Systems VI,1.5,,Intermediate structural analysis for architectural design with a focus on composite systems. Develops skills needed for structural integration in building design.,False,Not repeatable for credit,
0a6d3724-bbbf-4762-a594-d6b11dcf094c,ARCH,377,Architectural Technology VII,3.0,,"Advanced building technology concepts are explored through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes.",False,Not repeatable for credit,Can enroll if major is ARCH.
