"id","prereq"
"32371","ARCH 494  Minimum Grade: C"
"32372","ARCH 494  Minimum Grade: C"
"32373","ARCH 494  Minimum Grade: C"
"32374","ARCH 494  Minimum Grade: C"
"32375","ARCH 494  Minimum Grade: C"
"32376","ARCH 494  Minimum Grade: C"
"32377","ARCH 494  Minimum Grade: C"
"32692","ARCH 494  Minimum Grade: C"
"33825","ARCH 494  Minimum Grade: C"
"33826","ARCH 494  Minimum Grade: C"
"33449","AADM 785  Minimum Grade: C"
"31475","AADM 785  Minimum Grade: C"
"31215","AADM 798  Minimum Grade: CR"
"31567","DANC 104  Minimum Grade: D or DANC 140  Minimum Grade: D"
"35115","DANC 105  Minimum Grade: D or DANC 150  Minimum Grade: D"
"32397","DANC 106  Minimum Grade: D or DANC 160  Minimum Grade: D"
"31568","DANC 204  Minimum Grade: D or DANC 141  Minimum Grade: D"
"32399","DANC 481  Minimum Grade: D"
"32101","(VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D ) and (VSCM 100  Minimum Grade: D or DSMR 100  Minimum Grade: D or WEST 100  Minimum Grade: D ) and DSMR 211  Minimum Grade: D and COM 230  Minimum Grade: D"
"32102","(VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D ) and (VSCM 100  Minimum Grade: D or DSMR 100  Minimum Grade: D or WEST 100  Minimum Grade: D ) and DSMR 211  Minimum Grade: D and COM 230  Minimum Grade: D"
"30263","DSMR 231  Minimum Grade: D"
"33869","DSMR 231  Minimum Grade: D"
"31529","DSMR 232  Minimum Grade: D"
"31767","DSMR 232  Minimum Grade: D"
"33871","DSMR 310  Minimum Grade: D"
"31286","DSRE 625  Minimum Grade: C and DSRE 635  Minimum Grade: C"
"32861","DSRE 645  Minimum Grade: C"
"34869","DSRE 750  Minimum Grade: C"
"31339","DSRE 760  Minimum Grade: C"
"30493","DIGM 451  Minimum Grade: D or IDM 371  Minimum Grade: D  (IDM 371  may be taken concurrently with DIGM 475)"
"31338","(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D )"
"31659","(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D )"
"33916","(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D )"
"33917","(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D )"
"34786","DIGM 501  Minimum Grade: B"
"34787","DIGM 525  Minimum Grade: B"
"34788","DIGM 518  Minimum Grade: C  (DIGM 518  may be taken concurrently with DIGM 605)"
"31785","DIGM 511  Minimum Grade: B"
"32392","DIGM 511  Minimum Grade: B"
"33138","DIGM 511  Minimum Grade: B"
"33139","DIGM 511  Minimum Grade: B"
"35107","DIGM 680  Minimum Grade: B"
"35108","DIGM 680  Minimum Grade: B"
"32716","EAM 130  Minimum Grade: D and EAM 211  Minimum Grade: D"
"32561","EAM 220  Minimum Grade: D"
"32562","EAM 211  Minimum Grade: D"
"32159","EAM 130  Minimum Grade: D"
"32378","EAM 130  Minimum Grade: D and EAM 211  Minimum Grade: D"
"33450","EAM 422  Minimum Grade: D"
"32293","FASH 309  Minimum Grade: D or FASH 310  Minimum Grade: D"
"32294","FASH 309  Minimum Grade: D or FASH 310  Minimum Grade: D"
"32718","FASH 309  Minimum Grade: D or FASH 310  Minimum Grade: D"
"32295","FASH 318  Minimum Grade: D or FASH 316  Minimum Grade: D"
"30013","FASH 241  Minimum Grade: D"
"30014","FASH 241  Minimum Grade: D"
"30165","FASH 241  Minimum Grade: D"
"32679","FASH 241  Minimum Grade: D"
"31782","FASH 342  Minimum Grade: D"
"32297","FASH 348  Minimum Grade: D or FASH 349  Minimum Grade: D"
"32298","FASH 348  Minimum Grade: D or FASH 349  Minimum Grade: D"
"33907","FASH 348  Minimum Grade: D or FASH 349  Minimum Grade: D"
"31219","FASH 241  Minimum Grade: D"
"30591","FASH 491  Minimum Grade: D"
"31218","FASH 491  Minimum Grade: D"
"33874","FASH 491  Minimum Grade: D"
"34663","FASH 528  Minimum Grade: C or FASH 628  Minimum Grade: C"
"34664","FASH 241  Minimum Grade: C"
"35008","FASH 241  Minimum Grade: C"
"32594","FASH 529  Minimum Grade: C or FASH 629  Minimum Grade: C or FASH 548  Minimum Grade: C"
"35141","FASH 241  Minimum Grade: C"
"31327","FASH 685  Minimum Grade: C or FASH 865  Minimum Grade: C"
"31788","FMTV 110  Minimum Grade: D or FMVD 110  Minimum Grade: D"
"31789","(FMTV 110  Minimum Grade: D or FMVD 110  Minimum Grade: D ) and (FMTV 115  Minimum Grade: D or FMVD 115  Minimum Grade: D ) and (FMTV 120  Minimum Grade: D or FMVD 120  Minimum Grade: D )"
"31790","(FMTV 110  Minimum Grade: D or FMVD 110  Minimum Grade: D ) and (FMTV 115  Minimum Grade: D or FMVD 115  Minimum Grade: D ) and (FMTV 120  Minimum Grade: D or FMVD 120  Minimum Grade: D )"
"31792","SCRP 280  Minimum Grade: D or SCRP 281  Minimum Grade: D"
"31794","(FMTV 110  Minimum Grade: D and (FMTV 115  Minimum Grade: D and (FMTV 120  Minimum Grade: D"
"32528","(FMTV 110  Minimum Grade: D or FMVD 110  Minimum Grade: D ) and (FMTV 115  Minimum Grade: D or FMVD 115  Minimum Grade: D ) and (FMTV 120  Minimum Grade: D or FMVD 120  Minimum Grade: D )"
"32303","FMTV 210  Minimum Grade: D"
"32380","FMTV 496  Minimum Grade: D"
"32381","FMTV 496  Minimum Grade: D"
"33113","FMST 102  Minimum Grade: D or FMST 205  Minimum Grade: D"
"33114","FMST 102  Minimum Grade: D or FMST 205  Minimum Grade: D"
"32116","GMAP 123  Minimum Grade: D"
"32117","GMAP 123  Minimum Grade: D"
"33140","GMAP 123  Minimum Grade: D"
"33896","GMAP 377  Minimum Grade: D"
"30779","INTR 350  Minimum Grade: D"
"31786","(ANIM 141  Minimum Grade: D or ANIM 145  Minimum Grade: D or CS 265  Minimum Grade: D ) and GMAP 260  Minimum Grade: D"
"32393","(ANIM 141  Minimum Grade: D or ANIM 145  Minimum Grade: D or CS 265  Minimum Grade: D ) and GMAP 260  Minimum Grade: D"
"32724","(GMAP 345  Minimum Grade: D or CS 345  Minimum Grade: D ) and (CS 172  Minimum Grade: D or GMAP 231  Minimum Grade: D )"
"30875","GMAP 345  Minimum Grade: D or CS 345  Minimum Grade: D"
"32725","GMAP 345  Minimum Grade: D or CS 345  Minimum Grade: D"
"33900","DIGM 506  Minimum Grade: B"
"32874","(VSCM 221  Minimum Grade: D or WMGD 330  Minimum Grade: D ) and VSCM 231  Minimum Grade: D"
"32875","(VSCM 221  Minimum Grade: D or WMGD 330  Minimum Grade: D ) and VSCM 231  Minimum Grade: D"
"32876","(VSCM 221  Minimum Grade: D or WMGD 330  Minimum Grade: D ) and VSCM 231  Minimum Grade: D"
"30011","VSCM 231  Minimum Grade: D"
"30012","VSCM 231  Minimum Grade: D"
"31536","VSCM 231  Minimum Grade: D"
"35112","VSCM 231  Minimum Grade: D"
"33100","VSCM 221  Minimum Grade: D or WMGD 330  Minimum Grade: D"
"31644","VSCM 232  Minimum Grade: D and VSCM 222  Minimum Grade: D"
"33880","VSCM 430  Minimum Grade: D"
"33881","VSCM 430  Minimum Grade: D"
"33882","VSCM 430  Minimum Grade: D"
"31557","IDM 212  Minimum Grade: D"
"32121","IDM 212  Minimum Grade: D"
"32322","IDM 212  Minimum Grade: D"
"31803","INTR 233  Minimum Grade: C- or INTR 323  Minimum Grade: C-"
"31804","INTR 233  Minimum Grade: C- or INTR 323  Minimum Grade: C-"
"31805","INTR 241  Minimum Grade: D"
"31806","INTR 241  Minimum Grade: D"
"31509","INTR 350  Minimum Grade: D"
"30778","INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C-"
"33918","VSST 203  Minimum Grade: D"
"33919","VSST 203  Minimum Grade: D"
"30788","INTR 492  Minimum Grade: C-"
"30789","INTR 492  Minimum Grade: C-"
"30790","INTR 492  Minimum Grade: C-"
"32694","INTR 492  Minimum Grade: C-"
"32131","INTR 642  Minimum Grade: C"
"32133","INTR 634  Minimum Grade: C-"
"35014","INTR 694  Minimum Grade: C+"
"32134","INTR 697  Minimum Grade: C+"
"32695","INTR 697  Minimum Grade: C+"
"32696","INTR 697  Minimum Grade: C+"
"32697","INTR 697  Minimum Grade: C+"
"32699","INTR 697  Minimum Grade: C+"
"32700","INTR 697  Minimum Grade: C+"
"32701","INTR 697  Minimum Grade: C+"
"32702","INTR 697  Minimum Grade: C+"
"32703","INTR 697  Minimum Grade: C+"
"32704","INTR 697  Minimum Grade: C+"
"32705","INTR 697  Minimum Grade: C+"
"32706","INTR 697  Minimum Grade: C+"
"34620","INTR 697  Minimum Grade: C+"
"34619","INTR 697  Minimum Grade: C+"
"34618","INTR 697  Minimum Grade: C+"
"34617","INTR 697  Minimum Grade: C+"
"34616","INTR 697  Minimum Grade: C+"
"32379","MUSL 500  Minimum Grade: C and MUSL 530  Minimum Grade: C"
"34658","MUSC 121  Minimum Grade: D"
"30122","MUSC 121  Minimum Grade: D"
"30123","MUSC 121  Minimum Grade: D"
"30124","MUSC 121  Minimum Grade: D"
"31231","MUSC 122  Minimum Grade: D"
"31232","MUSC 122  Minimum Grade: D"
"30949","MUSC 190  Minimum Grade: D"
"30129","MUSC 191  Minimum Grade: D"
"30177","MUSC 121  Minimum Grade: D"
"30178","MUSC 121  Minimum Grade: D"
"33385","MUSC 121  Minimum Grade: D"
"30541","MIP 233  Minimum Grade: D"
"33854","MIP 233  Minimum Grade: D"
"33855","MIP 233  Minimum Grade: D"
"34322","MIP 233  Minimum Grade: D"
"31213","MIP 161  Minimum Grade: D and BLAW 201  Minimum Grade: D"
"31810","MIP 379  Minimum Grade: D"
"31811","MIP 379  Minimum Grade: D"
"34259","MIP 379  Minimum Grade: D"
"33452","MIP 161  Minimum Grade: D or MIP 361  Minimum Grade: D"
"31345","MIP 132  Minimum Grade: C"
"31346","MIP 279  Minimum Grade: C"
"34692","MIP 132  Minimum Grade: D and STAT 201  Minimum Grade: D"
"33170","MIP 133  Minimum Grade: D"
"31812","MIP 379  Minimum Grade: D"
"31813","MIP 379  Minimum Grade: D"
"34235","MIP 379  Minimum Grade: D"
"30874","PHTO 110  Minimum Grade: D"
"34067","PHTO 120  Minimum Grade: D"
"32104","PHTO 210  Minimum Grade: D"
"31531","PHTO 275  Minimum Grade: D"
"32720","PHTO 234  Minimum Grade: D"
"33877","PHTO 141  Minimum Grade: D and PHTO 240  Minimum Grade: D"
"32721","PHTO 234  Minimum Grade: D and PHTO 233  Minimum Grade: D and PHTO 236  Minimum Grade: D"
"32722","PHTO 233  Minimum Grade: D and PHTO 361  Minimum Grade: D"
"30235","PHTO 492  Minimum Grade: D and PHTO 493  Minimum Grade: D"
"33778","PHTO 492  Minimum Grade: D and PHTO 493  Minimum Grade: D"
"32873","PHTO 493  Minimum Grade: D"
"30728","(PROD 210  Minimum Grade: C or PROD 212  Minimum Grade: C ) and (PROD 220  Minimum Grade: C or PROD 211  Minimum Grade: C )"
"30941","(PROD 210  Minimum Grade: C or PROD 212  Minimum Grade: C ) and (PROD 220  Minimum Grade: C or PROD 211  Minimum Grade: C )"
"34671","(PROD 210  Minimum Grade: C or PROD 212  Minimum Grade: C ) and (PROD 220  Minimum Grade: C or PROD 211  Minimum Grade: C )"
"30867","PROD 470  Minimum Grade: C"
"32106","PROD 470  Minimum Grade: C"
"31534","RMER 500  Minimum Grade: B and RMER 510  Minimum Grade: B"
"31535","RMER 500  Minimum Grade: B and RMER 510  Minimum Grade: B"
"30233","ENGL 101  Minimum Grade: D or ENGL 105  Minimum Grade: D or ENGL 111  Minimum Grade: D"
"30523","ENGL 101  Minimum Grade: D or ENGL 105  Minimum Grade: D or ENGL 111  Minimum Grade: D"
"30406","ENGL 101  Minimum Grade: D or ENGL 105  Minimum Grade: D or ENGL 111  Minimum Grade: D"
"30793","ENGL 101  Minimum Grade: D or ENGL 105  Minimum Grade: D or ENGL 111  Minimum Grade: D"
"30794","ENGL 101  Minimum Grade: D or ENGL 105  Minimum Grade: D or ENGL 111  Minimum Grade: D"
"30232","SCRP 270  Minimum Grade: D"
"31386","SCRP 270  Minimum Grade: D"
"31287","SCRP 270  Minimum Grade: C"
"34598","SCRP 270  Minimum Grade: D"
"30266","SCRP 270  Minimum Grade: D"
"30888","SCRP 270  Minimum Grade: D"
"35142","SCRP 270  Minimum Grade: D"
"30234","SCRP 275  Minimum Grade: D or SCRP 370  Minimum Grade: D"
"34863","SCRP 380  Minimum Grade: D"
"32383","SCRP 496  Minimum Grade: D"
"32384","SCRP 496  Minimum Grade: D"
"30066","THTR 130  Minimum Grade: D"
"30757","THTR 130  Minimum Grade: D"
"30758","THTR 130  Minimum Grade: D"
"30759","THTR 130  Minimum Grade: D"
"30760","THTR 130  Minimum Grade: D"
"31234","THTR 130  Minimum Grade: D"
"32136","THTR 209  Minimum Grade: C  (THTR 209  may be taken concurrently with THTR 145)"
"30513","THTR 210  Minimum Grade: D"
"30142","THTR 211  Minimum Grade: D and THTR 121  Minimum Grade: D"
"32711","URBS 680"
"32712","URBS 680"
"33161","URBS 680"
"33162","URBS 680"
"30283","VSST 101  Minimum Grade: D or VSST 104  Minimum Grade: D or VSST 108  Minimum Grade: D"
"33839","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33840","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33841","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33843","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33845","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33922","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33847","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"33848","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"30614","VSST 108  Minimum Grade: D"
"30616","VSST 108  Minimum Grade: D"
"30615","VSST 108  Minimum Grade: D"
"30617","VSST 108  Minimum Grade: D"
"30708","VSST 108  Minimum Grade: D"
"30732","VSST 110  Minimum Grade: D"
"30081","VSST 110  Minimum Grade: D"
"31059","VSST 110  Minimum Grade: D"
"33849","VSST 110  Minimum Grade: D and VSST 111  Minimum Grade: D"
"31387","VSST 110  Minimum Grade: D and VSST 111  Minimum Grade: D"
"31388","VSST 110  Minimum Grade: D and VSST 111  Minimum Grade: D"
"30284","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"30270","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"30271","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"30272","VSST 301  Minimum Grade: C"
"35111","VSST 301  Minimum Grade: C"
"30273","VSST 302  Minimum Grade: C"
"34606","VSST 102  Minimum Grade: D or VSST 109  Minimum Grade: D"
"30274","VSST 103  Minimum Grade: D or VSST 106  Minimum Grade: D"
"34607","VSST 103  Minimum Grade: D or VSST 106  Minimum Grade: D"
"30275","VSST 311  Minimum Grade: D"
"35223","VSST 311  Minimum Grade: D"
"31324","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"31325","VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D or VSST 109  Minimum Grade: D"
"31808","VSST 321  Minimum Grade: D or VSST 322  Minimum Grade: D"
"31049","ARBC 101  Minimum Grade: D"
"34063","ARBC 103  Minimum Grade: D"
"34892","CW 550  Minimum Grade: B"
"30427","CHEM 101  Minimum Grade: D"
"30429","CHEM 101  Minimum Grade: D"
"30430","CHEM 101  Minimum Grade: D"
"30414","CHEM 101  Minimum Grade: D"
"30415","CHEM 101  Minimum Grade: D"
"30417","CHEM 101  Minimum Grade: D"
"30539","CHEM 101  Minimum Grade: D"
"30408","CHEM 101  Minimum Grade: D"
"32199","BIO 143  Minimum Grade: D"
"32200","BIO 143  Minimum Grade: D"
"32201","BIO 143  Minimum Grade: D"
"30297","BIO 141  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30298","BIO 141  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30535","BIO 141  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30296","BIO 141  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"31008","BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"31010","BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"31011","BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"31009","BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30238","BIO 122  Minimum Grade: D or BIO 141  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30295","BIO 122  Minimum Grade: D or BIO 141  Minimum Grade: D or BIO 131  Minimum Grade: D"
"34778","BIO 121  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 124  Minimum Grade: D or BIO 126  Minimum Grade: D or BIO 131  Minimum Grade: D or BIO 132  Minimum Grade: D or BIO 133  Minimum Grade: D"
"34779","BIO 224  Minimum Grade: D  (BIO 224  may be taken concurrently with BIO 225)"
"31045","(BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D ) and (BIO 124  Minimum Grade: D or BIO 132  Minimum Grade: D )"
"31888","BIO 122  Minimum Grade: D or BIO 131  Minimum Grade: D"
"31194","BIO 100  Minimum Grade: D or BIO 101  Minimum Grade: D or BIO 107  Minimum Grade: D or BIO 109  Minimum Grade: D or BIO 122  Minimum Grade: D or BIO 141  Minimum Grade: D or BIO 131  Minimum Grade: D"
"30217","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"31769","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"30048","CHEM 242  Minimum Grade: D"
"30219","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"30220","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"30221","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"30926","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"31662","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"30218","CHEM 242  Minimum Grade: D or CHEM 248  Minimum Grade: D"
"34367","BIO 218  Minimum Grade: D or BIO 211  Minimum Grade: D"
"32068","(BIO 214  Minimum Grade: D and BIO 218  Minimum Grade: D ) or BIO 211  Minimum Grade: D"
"34368","BIO 218  Minimum Grade: D or BIO 211  Minimum Grade: D"
"31975","BIO 211  Minimum Grade: D or (BIO 214  Minimum Grade: D and BIO 218  Minimum Grade: D )"
"30968","BIO 218  Minimum Grade: D or BIO 211  Minimum Grade: D"
"31099","BIO 214  Minimum Grade: D or BIO 211  Minimum Grade: D"
"30770","BIO 218  Minimum Grade: D or BIO 211  Minimum Grade: D"
"31044","BIO 218  Minimum Grade: D or BIO 211  Minimum Grade: D or BIO 348  Minimum Grade: D or BIO 349  Minimum Grade: D"
"31328","BIO 214  Minimum Grade: D or BIO 211  Minimum Grade: D or BIO 348  Minimum Grade: D or BIO 349  Minimum Grade: D"
"34369","BIO 214  Minimum Grade: D or BIO 211  Minimum Grade: D"
"30191","BIO 472  Minimum Grade: D"
"31679","BIO 500  Minimum Grade: C"
"30771","BIO 500  Minimum Grade: C"
"31192","BIO 500  Minimum Grade: C"
"31329","BIO 532  Minimum Grade: C or BIO 632  Minimum Grade: C"
"31938","PHYS 102  Minimum Grade: D and (CHE 230  Minimum Grade: D or ENGR 210  Minimum Grade: D )"
"34890","CW 550  Minimum Grade: B"
"30037","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30039","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30302","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30303","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30300","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30301","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30997","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"31939","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30038","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30304","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30305","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30308","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30799","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30306","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30307","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30998","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"31942","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"30036","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"31943","CHEM 101  Minimum Grade: D or CHEM 121  Minimum Grade: D or CHEM 161  Minimum Grade: D"
"32684","CHEM 102  Minimum Grade: D or CHEM 122  Minimum Grade: D or CHEM 108  Minimum Grade: D or (CHEM 162  Minimum Grade: D and CHEM 164  Minimum Grade: D )"
"33101","CHEM 102  Minimum Grade: D or CHEM 122  Minimum Grade: D or CHEM 108  Minimum Grade: D or (CHEM 162  Minimum Grade: D and CHEM 164  Minimum Grade: D )"
"33102","CHEM 102  Minimum Grade: D or CHEM 122  Minimum Grade: D or CHEM 108  Minimum Grade: D or (CHEM 162  Minimum Grade: D and CHEM 164  Minimum Grade: D )"
"33103","CHEM 102  Minimum Grade: D or CHEM 122  Minimum Grade: D or CHEM 108  Minimum Grade: D or (CHEM 162  Minimum Grade: D and CHEM 164  Minimum Grade: D )"
