crn, subject_code, course_number, instruction_type, instruction_method, section, enroll, max_enroll, course_title, credits, prereqs, start_time, end_time, days
31284,ARCH,283,Lecture & Studio,Face To Face,001,14,15,Architecture Studio 2C,4.00,( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C,09:00:00,11:50:00,"{Tuesday,Friday}"
31285,ARCH,283,Lecture & Studio,Face To Face,002,FULL,FULL,Architecture Studio 2C,4.00,( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C,09:00:00,11:50:00,"{Tuesday,Friday}"
31343,ARCH,283,Lecture & Studio,Face To Face,003,FULL,FULL,Architecture Studio 2C,4.00,( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C,09:00:00,11:50:00,"{Tuesday,Friday}"
30811,ARCH,315,Lecture,Face To Face,001,FULL,FULL,Sustainable Built Environment I,3.00,,18:00:00,20:50:00,{Wednesday}
33820,ARCH,379,Lecture,Face To Face,001,FULL,FULL,Architectural Technology IX,3.00,ARCH 378  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
33821,ARCH,379,Lecture,Face To Face,002,19,21,Architectural Technology IX,3.00,ARCH 378  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
30167,ARCH,451,Lecture,Face To Face,001,FULL,FULL,Advanced Drawing,3.00,ARCH 226  Minimum Grade: C- or INTR 341  Minimum Grade: C-,18:00:00,20:50:00,{Wednesday}
33679,ARCH,467,Lecture & Seminar,Face To Face,001,12,15,Introduction to Historic Preservation,3.00,(ARCH 143  Minimum Grade: C or INTR 200  Minimum Grade: C ) and (ARCH 283  Minimum Grade: C or INTR 342  Minimum Grade: C or INTR 442  Minimum Grade: C ),18:30:00,21:20:00,{Tuesday}
33829,ARCH,T480,Special Topics-Lecture,Face To Face,001,10,12,Spatial Analysis and Design,3.00,ARCH 143  Minimum Grade: C,18:30:00,21:20:00,{Tuesday}
34247,ARCH,484,Lecture & Studio,Face To Face,001,11,12,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Tuesday}
34248,ARCH,484,Lecture & Studio,Face To Face,002,FULL,FULL,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Wednesday}
34249,ARCH,484,Lecture & Studio,Face To Face,003,FULL,FULL,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Wednesday}
34250,ARCH,484,Lecture & Studio,Face To Face,004,FULL,FULL,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Tuesday}
34251,ARCH,484,Lecture & Studio,Face To Face,005,FULL,FULL,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Wednesday}
34252,ARCH,484,Lecture & Studio,Face To Face,006,FULL,FULL,Specialized Studio,4.00,ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C ),18:00:00,21:50:00,{Tuesday}
31801,ARCH,489,Lecture & Studio,Face To Face,001,FULL,FULL,Architecture Studio 5C,4.00,ARCH 488  Minimum Grade: C,18:00:00,21:50:00,{Wednesday}
31802,ARCH,489,Lecture & Studio,Face To Face,002,12,13,Architecture Studio 5C,4.00,ARCH 488  Minimum Grade: C,18:00:00,21:50:00,{Wednesday}
31435,ARCH,495,Thesis,Face To Face,001,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32370,ARCH,495,Thesis,Face To Face,002,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32371,ARCH,495,Thesis,Face To Face,003,3,4,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32372,ARCH,495,Thesis,Face To Face,004,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32373,ARCH,495,Thesis,Face To Face,005,3,4,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32374,ARCH,495,Thesis,Face To Face,006,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32375,ARCH,495,Thesis,Face To Face,007,3,4,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32376,ARCH,495,Thesis,Face To Face,008,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32377,ARCH,495,Thesis,Face To Face,009,3,4,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
32692,ARCH,495,Thesis,Face To Face,010,3,4,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
33825,ARCH,495,Thesis,Face To Face,011,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
33826,ARCH,495,Thesis,Face To Face,012,FULL,FULL,Senior Project III,4.00,ARCH 494  Minimum Grade: C,18:00:00,21:50:00,{Monday}
34258,ARCH,667,Lecture & Seminar,Face To Face,001,FULL,FULL,Introduction to Historic Preservation,3.00,,18:30:00,21:20:00,{Tuesday}
33833,ARTH,101,Lecture,Online-Asynchronous,900,FULL,FULL,History of Art I,3.00,,null,null,null
31510,ARTH,102,Lecture,Face To Face,001,53,80,History of Art II,3.00,,11:00:00,12:20:00,"{Tuesday,Thursday}"
30015,ARTH,103,Lecture,Face To Face,001,52,60,History of Art III,3.00,,12:30:00,13:50:00,"{Monday,Wednesday}"
33047,ARTH,150,Seminar,Face To Face,001,FULL,FULL,Building Skills in Object Analysis,3.00,,12:00:00,14:50:00,{Friday}
35179,ARTH,T180,Special Topics-Lecture,Face To Face,001,1,6,Appreciation of Architecture,3.00,,11:00:00,12:20:00,"{Tuesday,Thursday}"
33834,ARTH,300,Lecture,Face To Face,001,FULL,FULL,History of Modern Design,3.00,,09:00:00,11:50:00,{Friday}
33836,ARTH,331,Lecture,Face To Face,001,13,15,Global Material Culture,3.00,,09:30:00,12:20:00,{Thursday}
34668,ARTH,335,Lecture,Online-Asynchronous,900,FULL,FULL,History of Costume I: Preclassical to 1800,3.00,,null,null,null
34625,ARTH,T380,Special Topics-Lecture,Face To Face,002,18,20,Asian American Art History,3.00,,15:30:00,18:20:00,{Tuesday}
33837,ARTH,477,Lecture,Face To Face,001,FULL,FULL,Making Sense of Cult. Heritage,3.00,,15:00:00,17:50:00,{Wednesday}
35015,ARTH,530,Lecture,Face To Face,001,FULL,FULL,History of Modern Design,3.00,,09:00:00,11:50:00,{Friday}
31870,AAML,525,Lecture,Online-Asynchronous,900,11,12,Legal and Ethical Issues in Arts and Culture,3.00,,null,null,null
31476,AAML,560,Lecture,Online-Asynchronous,900,12,14,Marketing & Engagement in Arts and Cultural Orgs.,3.00,,null,null,null
34475,AAML,660,Lecture,Face To Face,001,FULL,FULL,Technology Tools for Arts and Cultural Managers,3.00,,18:30:00,21:20:00,{Tuesday}
35103,AADM,T580,Special Topics-Lecture,Face To Face,001,FULL,FULL,Volunteer and Board Management,3.00,,12:30:00,13:50:00,"{Tuesday,Thursday}"
31344,AADM,785,Lecture,Face To Face,001,6,8,Research Design in the Arts,3.00,,18:00:00,20:50:00,{Wednesday}
33449,AADM,798,Thesis,Face To Face,001,3,6,Thesis Development,3.00,AADM 785  Minimum Grade: C,null,null,null
31475,AADM,798,Thesis,Online-Asynchronous,900,1,6,Thesis Development,3.00,AADM 785  Minimum Grade: C,null,null,null
31215,AADM,799,Thesis,Online-Asynchronous,900,1,6,Thesis Completion,0.50,AADM 798  Minimum Grade: CR,null,null,null
31559,DANC,102,Lecture,Face To Face,001,FULL,FULL,Yoga,3.00,,12:00:00,13:20:00,"{Monday,Wednesday}"
31560,DANC,102,Lecture,Face To Face,002,FULL,FULL,Yoga,3.00,,12:00:00,13:20:00,"{Tuesday,Thursday}"
31902,DANC,105,Lecture & Studio,Face To Face,001,7,10,Modern Dance Technique I,2.00,,15:00:00,16:20:00,"{Tuesday,Thursday}"
34626,DANC,106,Lecture & Studio,Face To Face,001,FULL,FULL,Jazz Dance Technique I,2.00,,15:00:00,16:20:00,"{Monday,Wednesday}"
31563,DANC,107,Lecture & Studio,Face To Face,001,FULL,FULL,Hip-Hop Dance Technique I,2.00,,09:00:00,10:20:00,"{Tuesday,Thursday}"
31566,DANC,115,Lecture & Studio,Face To Face,001,19,20,Introduction to Dance,3.00,,12:00:00,12:50:00,"{Monday,Wednesday,Friday}"
32395,DANC,116,Lecture & Studio,Face To Face,001,FULL,FULL,Dance and Fitness,3.00,,13:30:00,14:50:00,"{Tuesday,Thursday}"
33908,DANC,131,Performance,Face To Face,001,24,35,Dance Practicum in Performance,0.00 OR 1.00,,17:30:00,18:50:00,"{Tuesday,Thursday}"
33909,DANC,131,Performance,Face To Face,002,27,30,Dance Practicum in Performance,0.00 OR 1.00,,19:00:00,20:20:00,"{Tuesday,Thursday}"
33910,DANC,131,Performance,Face To Face,003,16,25,Dance Practicum in Performance,0.00 OR 1.00,,17:30:00,18:50:00,"{Monday,Wednesday}"
33911,DANC,131,Performance,Face To Face,004,9,10,Dance Practicum in Performance,0.00 OR 1.00,,12:00:00,14:50:00,{Saturday}
33912,DANC,131,Performance,Face To Face,005,1,10,Dance Practicum in Performance,0.00 OR 1.00,,09:00:00,11:50:00,{Friday}
33913,DANC,132,Practicum,Face To Face,001,3,10,Dance Practicum in Production,0.00 OR 1.00,,20:30:00,21:20:00,"{Tuesday,Thursday}"
33146,DANC,133,Practice,Face To Face,001,6,12,Dance Practicum in Choreography,0.00 OR 1.00,,20:30:00,21:20:00,{Thursday}
31567,DANC,204,Lecture & Studio,Face To Face,001,11,12,Ballet Technique II,2.00,DANC 104  Minimum Grade: D or DANC 140  Minimum Grade: D,10:30:00,11:50:00,"{Monday,Wednesday}"
35115,DANC,205,Lecture & Studio,Face To Face,001,5,10,Modern Dance Technique II,2.00,DANC 105  Minimum Grade: D or DANC 150  Minimum Grade: D,15:00:00,16:20:00,"{Tuesday,Thursday}"
32397,DANC,206,Lecture & Studio,Face To Face,001,4,6,Jazz Dance Technique II,2.00,DANC 106  Minimum Grade: D or DANC 160  Minimum Grade: D,15:00:00,16:20:00,"{Monday,Wednesday}"
33902,DANC,250,Integrated Lecture & Lab,Face To Face,001,FULL,FULL,Screendance,3.00,,11:00:00,12:20:00,"{Tuesday,Thursday}"
31568,DANC,304,Lecture & Studio,Face To Face,001,FULL,FULL,Ballet Dance Technique III,2.00,DANC 204  Minimum Grade: D or DANC 141  Minimum Grade: D,10:30:00,11:50:00,"{Monday,Wednesday}"
31570,DANC,315,Lecture,Face To Face,001,18,20,Twentieth Century Dance,3.00,,12:30:00,13:50:00,"{Monday,Wednesday}"
31571,DANC,316,Lecture & Studio,Face To Face,001,10,12,Dance Kinesiology,3.00,,18:00:00,20:50:00,{Monday}
31572,DANC,481,Lecture,Face To Face,001,5,6,Senior Seminar in Dance,1.00,,13:00:00,13:50:00,{Friday}
32399,DANC,491,Thesis,Face To Face,001,FULL,FULL,Senior Project in Dance,1.00,DANC 481  Minimum Grade: D,12:30:00,13:20:00,{Thursday}
30133,DSMR,201,Lecture,Face To Face,001,FULL,FULL,Analysis of Product,3.00,,12:30:00,15:20:00,{Thursday}
30164,DSMR,201,Lecture,Face To Face,002,FULL,FULL,Analysis of Product,3.00,,12:30:00,15:20:00,{Tuesday}
30264,DSMR,201,Lecture,Face To Face,003,FULL,FULL,Analysis of Product,3.00,,09:30:00,12:20:00,{Thursday}
32871,DSMR,201,Lecture,Face To Face,004,FULL,FULL,Analysis of Product,3.00,,18:00:00,20:50:00,{Monday}
32101,DSMR,210,Lab & Studio,Face To Face,001,FULL,FULL,Presentation Techniques Design and Merchandising,3.00,(VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D ) and (VSCM 100  Minimum Grade: D or DSMR 100  Minimum Grade: D or WEST 100  Minimum Grade: D ) and DSMR 211  Minimum Grade: D and COM 230  Minimum Grade: D,09:00:00,10:50:00,"{Monday,Wednesday}"
32102,DSMR,210,Lab & Studio,Face To Face,002,FULL,FULL,Presentation Techniques Design and Merchandising,3.00,(VSST 102  Minimum Grade: D or VSST 105  Minimum Grade: D ) and (VSCM 100  Minimum Grade: D or DSMR 100  Minimum Grade: D or WEST 100  Minimum Grade: D ) and DSMR 211  Minimum Grade: D and COM 230  Minimum Grade: D,12:00:00,13:50:00,"{Monday,Wednesday}"
33176,DSMR,215,Lecture,Face To Face,001,16,18,Digital Commerce & Promotion,3.00,,09:30:00,12:20:00,{Tuesday}
30263,DSMR,232,Lecture,Face To Face,001,12,16,Merchandise Planning and Buying,4.00,DSMR 231  Minimum Grade: D,12:00:00,13:50:00,"{Monday,Wednesday}"
33869,DSMR,300,Lecture,Face To Face,001,FULL,FULL,Strategic Digiital Mag. Promo,3.00,DSMR 231  Minimum Grade: D,15:00:00,17:50:00,{Wednesday}
31529,DSMR,310,Lecture,Face To Face,001,FULL,FULL,Merchandising Operations & Management,3.00,DSMR 232  Minimum Grade: D,15:00:00,17:50:00,{Monday}
31767,DSMR,311,Lecture,Hybrid,130,13,16,Visual Merchandising,3.00,DSMR 232  Minimum Grade: D,12:30:00,14:20:00,{Thursday}
33871,DSMR,464,Lecture,Face To Face,001,12,16,Merchandising Analytics,3.00,DSMR 310  Minimum Grade: D,09:00:00,11:50:00,{Wednesday}
34202,DSMR,485,Seminar,Online-Asynchronous,900,FULL,FULL,Retail and Merchandising Seminar Leadership,3.00,,null,null,null
34254,DSRE,630,Seminar,Face To Face,001,9,11,Data Visualization for Design Professionals,3.00,,18:00:00,20:50:00,{Monday}
31286,DSRE,645,Thesis,Face To Face,001,5,6,Design Research Thesis Proposal,3.00,DSRE 625  Minimum Grade: C and DSRE 635  Minimum Grade: C,14:00:00,16:50:00,{Thursday}
32861,DSRE,650,Thesis,Remote Synchronous,001,5,6,Thesis Research and Practicum,3.00,DSRE 645  Minimum Grade: C,18:00:00,20:50:00,{Wednesday}
35249,DSRE,T680,Special Topics-Seminar,Face To Face,002,FULL,FULL,Bio-Inspired Design,3.00,,09:00:00,11:50:00,{Wednesday}
34869,DSRE,760,Thesis,Face To Face,001,FULL,FULL,Thesis in Design Research II,3.00,DSRE 750  Minimum Grade: C,null,null,null
31339,DSRE,770,Thesis,Face To Face,001,4,6,Thesis in Design Research III,3.00,DSRE 760  Minimum Grade: C,15:00:00,17:50:00,{Monday}
33129,DIGM,105,Lecture,Face To Face,001,FULL,FULL,Overview of Digital Media,3.00,,12:00:00,14:50:00,{Monday}
33130,DIGM,105,Lecture,Face To Face,002,18,20,Overview of Digital Media,3.00,,15:00:00,17:50:00,{Monday}
33131,DIGM,105,Lecture,Face To Face,003,18,20,Overview of Digital Media,3.00,,12:00:00,14:50:00,{Wednesday}
33132,DIGM,105,Lecture,Face To Face,004,FULL,FULL,Overview of Digital Media,3.00,,15:00:00,17:50:00,{Wednesday}
34790,DIGM,131,Lecture & Studio,Face To Face,001,FULL,FULL,Introduction to Scripting for the Digital Content Creation Pipeline,3.00,,09:30:00,12:20:00,{Tuesday}
32113,DIGM,451,Lecture,Face To Face,001,FULL,FULL,Explorations in New Media,3.00,,15:00:00,17:50:00,{Wednesday}
30493,DIGM,475,Lecture,Face To Face,001,15,20,Seminar: The Future of Digital Media,3.00,DIGM 451  Minimum Grade: D or IDM 371  Minimum Grade: D  (IDM 371  may be taken concurrently with DIGM 475),15:00:00,17:50:00,{Monday}
31338,DIGM,490,Lecture & Studio,Face To Face,001,51,60,Digital Media Senior Project,3.00,(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D ),12:30:00,13:50:00,"{Wednesday,Friday}"
31659,DIGM,490,Lecture & Studio,Face To Face,002,22,30,Digital Media Senior Project,3.00,(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D ),09:00:00,10:20:00,"{Tuesday,Thursday}"
33916,DIGM,490,Lecture & Studio,Face To Face,003,FULL,FULL,Digital Media Senior Project,3.00,(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D ),09:30:00,12:20:00,{Thursday}
33917,DIGM,490,Lecture & Studio,Face To Face,004,6,14,Digital Media Senior Project,3.00,(ANIM 378  Minimum Grade: D or GMAP 377  Minimum Grade: D or IDM 372  Minimum Grade: D or VRIM 320  Minimum Grade: D ) and (DIGM 451  Minimum Grade: D or DIGM 475  Minimum Grade: D ),09:30:00,12:20:00,{Thursday}
31137,DIGM,491,Thesis,Face To Face,001,15,20,Digital Media Senior Project Studio,1.00,,12:30:00,13:20:00,{Thursday}
31138,DIGM,491,Thesis,Face To Face,002,21,22,Digital Media Senior Project Studio,1.00,,12:30:00,13:20:00,{Thursday}
31139,DIGM,491,Thesis,Face To Face,003,15,20,Digital Media Senior Project Studio,1.00,,12:30:00,13:20:00,{Thursday}
31140,DIGM,491,Thesis,Face To Face,004,21,25,Digital Media Senior Project Studio,1.00,,10:30:00,11:20:00,{Tuesday}
33135,DIGM,491,Thesis,Face To Face,005,3,5,Digital Media Senior Project Studio,1.00,,09:00:00,09:50:00,{Wednesday}
34786,DIGM,510,Lecture,Face To Face,001,12,15,Designing for Interactivity,3.00,DIGM 501  Minimum Grade: B,15:30:00,18:20:00,{Tuesday}
34787,DIGM,526,Lecture,Online-Asynchronous,900,8,15,Animation II,3.00,DIGM 525  Minimum Grade: B,null,null,null
30226,DIGM,540,Lecture,Face To Face,001,4,15,New Media Project,3.00,,15:00:00,17:50:00,{Wednesday}
34847,DIGM,T580,Special Topics-Lecture,Remote Synchronous,001,FULL,FULL,Character Animation I,3.00,,12:00:00,14:50:00,{Monday}
35076,DIGM,T580,Special Topics,Face To Face,002,1,2,Fashion Design in 3-D Space,3.00,,12:00:00,14:50:00,"{Monday,Wednesday}"
35086,DIGM,T580,Special Topics-Lecture,Face To Face,003,FULL,FULL,Game Development Study,3.00,,18:30:00,21:20:00,{Thursday}
35090,DIGM,T580,Special Topics-Lecture,Remote Synchronous,004,FULL,FULL,Procedural Animation,3.00,,15:00:00,17:50:00,{Friday}
34788,DIGM,605,Lecture,Online-Asynchronous,900,13,15,Advanced Techniques in Computer Generated Imagery,3.00,DIGM 518  Minimum Grade: C  (DIGM 518  may be taken concurrently with DIGM 605),null,null,null
31785,DIGM,680,Thesis,Face To Face,001,5,6,Thesis Development,1.00,DIGM 511  Minimum Grade: B,12:00:00,14:50:00,{Monday}
32392,DIGM,680,Thesis,Face To Face,002,4,6,Thesis Development,3.00,DIGM 511  Minimum Grade: B,12:00:00,14:50:00,{Monday}
33138,DIGM,680,Thesis,Online-Asynchronous,900,FULL,FULL,Thesis Development,1.00,DIGM 511  Minimum Grade: B,null,null,null
33139,DIGM,680,Thesis,Online-Asynchronous,901,4,6,Thesis Development,3.00,DIGM 511  Minimum Grade: B,null,null,null
35107,DIGM,681,Thesis,Face To Face,001,0,5,Thesis Completion,0.50 TO 9.00,DIGM 680  Minimum Grade: B,null,null,null
